VERSION,CAMERA_NUMBER,VIDEO_NAME,FRAMENUMBER,CLASS,SCORE_CLASS,X1_ORGAN,Y1_ORGAN,X2_ORGAN,Y2_ORGAN,AREA_CLASS,FEATURE,SCORE_FEATURE,AREA_FEATURE
2023-06-05,CAM7,CAM7_20220203_092129.avi,147,Tail,0.97,34.0,1112.0,158.0,1257.0,17980.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,148,Tail,0.93,48.0,1112.0,176.0,1246.0,17152.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,149,Tail,0.94,76.0,1114.0,187.0,1238.0,13764.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,150,Tail,0.97,103.0,1117.0,197.0,1246.0,12126.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,151,Tail,0.94,133.0,1122.0,209.0,1264.0,10792.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,152,Tail,0.93,142.0,1115.0,209.0,1275.0,10720.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,153,Tail,0.95,114.0,1115.0,221.0,1274.0,17013.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,154,Tail,0.97,105.0,1119.0,233.0,1260.0,18048.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,155,Tail,0.95,111.0,1114.0,243.0,1232.0,15576.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,156,Tail,0.97,129.0,1112.0,250.0,1220.0,13068.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,157,Tail,0.89,151.0,1118.0,258.0,1234.0,12412.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,158,Tail,0.92,176.0,1126.0,264.0,1264.0,12144.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,159,Tail,0.97,198.0,1122.0,261.0,1285.0,10269.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,160,Tail,0.76,184.0,1116.0,259.0,1264.0,11100.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,161,Tail,0.96,146.0,1115.0,265.0,1266.0,17969.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,162,Tail,0.93,140.0,1119.0,262.0,1236.0,14274.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,163,Tail,0.96,143.0,1116.0,259.0,1224.0,12528.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,164,Tail,0.92,144.0,1121.0,260.0,1236.0,13340.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,165,Tail,0.94,149.0,1125.0,260.0,1264.0,15429.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,166,Tail,0.96,164.0,1122.0,254.0,1282.0,14400.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,167,Tail,0.94,162.0,1117.0,252.0,1281.0,14760.0,None,0.0,0.0
